"Name","Comment"
"gymfiticons","FACTS‼️💪🏼🔥"
"flores_shf","Facts big Wes 🙌"
"rabbit_fitnss","🦍🦍🦍👌🏽💯"
"rich_elegance_","Big facts 💯"
"hqmclothing","FACTO"
"kevineckelmann","Talk that shit big homie 💪"
"govergego","💪🏼💯‼️"
"jacob.smith.fit","💯"
"savagestonersavant","He got it"
"savagestonersavant","You got diss Wes"
"jtino702","🔥 100%"
"oldxschoolx88","Then she gonna be out eating briscuit in the hood"
"oldxschoolx88","@jtino702 300"
"_str3tch_401fitness","Mans always on point 👏 @watson_fit 🔥🙌"
"sirusthevirustv","🔥FACTS🔥 I needed to hear 👂 this. Love it."
"ninoswizz","You can’t hate this guy. Much respect to you bro"
"beaconszn","Let them kno the hard truth💯"
"neetu_________0780","Life is an opportunity but it comes for those who extremely have the zeal to achieve it don’t sit back and watch others earning greatly just give it try now  #MAKEMONEYWITHELIANA💓 🙏"
"treasurecoastlive","Powerful 🔥🔥🔥🔥🔥"
"cweston_founder","🔥🔥🔥 yup!"
"jashan_lubana.12","Life is an opportunity but it comes for those who extremely have the zeal to achieve it don’t sit back and watch others earning greatly just give it try now  #MAKEMONEYWITHELIANA💓 🙏"
"jishi882","I have been seeing a good result about her everywhere and a lot of people keep saying  reach out to her I eventually did and it turns out profitable 📈📈📈📈📈📈 #MAKEMONEYWITHELIANA💓"
"01____followers","How can I thank you enough She turned me from debtor to millionaire God bless you for me #MAKEMONEYWITHELIANA💓"
"_juliejay27_","🔥🔥🔥🔥"
"philbohol","Facts sir!! 💯"
"gujjar_1312_0","I don’t normally comment but felt thousands who have benefited from your generosity and expertise You are one of the precious few who genuinely look to give something back in this industry you are a Messiah #MAKEMONEYWITHELIANA💓"
"fantu906","I have been seeing a good result about her everywhere and a lot of people keep saying  reach out to her I eventually did and it turns out profitable 📈📈📈📈📈📈 #MAKEMONEYWITHELIANA💓"
"lanebullger","❤️🔥Anybody can do it, you just can’t be a bitch, and the fact that you ain’t doing it, makes you a bitch. Bitch!"
"bhagat7867471","🎉🎉😘💜"
"apexinsurancewes","Love this. Lead from the front!!!!"
"benjahh1995","LEADERSHIP 🫡"
"dvgpublicsafety","You’re daughters watching you sacrifice your morals and privacy for attention on social media."
"frsportsmgmt","100% facts"
"sixer.one","Listen up people he’s saying something! Conduct yourself with GREATNESS in ALL things that you do ALWAYS.  If you quit you are quitting on life! Get em killa!!!"
"cuba_cubes","Holy wow"
"40nfab2","@sixer.one On point! 🔥👏"
"watson_fit","@dvgpublicsafety She’s laughing at you comment from the sidelines😂 we’re their hero’s kiddo…Yours too!!!"
"watson_fit","@ninoswizz The ones still lying to themselves will😂"
"balancingdiscipline","🔥💯💯💯🔥"
"mac_the_knife101","Scripted shit gettin paid for an opinion"
"dkjkmk","😂😂😂😂"
"obsess","I need bootcamp"
"mrluxurysales","🔥🔥🔥🔥"
"coventrydealsourcer","Only rarely the kid gets woker than their parents to realise they are failures 😂 but even then you keep it humble and keep the peace 😂"
"positiveenergywarrior786","🔥🔥🔥🔥"
"femititi","🎯"
"scott_alex860","Interesting perspective.  At first I was disagreeing with it, but at the end of the video I was completely on board with it all"
"richard.pleasantt","@watson_fit no for real 🤣"
"bigjohnson123","💯"
"jenmoss7","I think the only bitch is those who do exactly their parents did. I do nothing like my parents who were both alcoholics and not very healthy. Be your own person. Stop slamming parents and blaming them for everything. Gotta be an adult at some point in your life right? 🤷🏼‍♀️"
"lesstalkmoreaction_1","Solid advice Frfr"
"a.e.sandoval","This might cut deep, but Wes ain’t lying 💯"
"jjthefitnesscoach","Big facts bro! 💯🔥💪🏼"
"ninoswizz","@watson_fit it’s a shame playing the blame game. Much love and respect champ for keeping it a stack all the time"
"eben_silas","I need you to give my football team a pep talk please 😂😂"
"sobe.films","Nothing but 📠📠📠"
"rightpricerooter","Well said. 🔥"
"douglasgraa","🔥🔥🔥"
"mikey_hurn","Truth! But it is only a failure if you don't try again. Learn from the experience and grow. All anyone can do is their best and their best is ALWAYS good enough!"
"twc_boobie954","👔💪🏻"
"fernandasellsflorida","👏"
"staklokee","I was tryna find the MF in the comments with their feelings hurt, but I couldn’t👏"
"juanp_alvarez16","🔥🔥"
"savagedave005","Letting go of the lie is the key to unlocking the door and allowing yourself to walk through it. Fearful at the wheel is an insurance policy for painful death."
"elitelandscapeconcrete","Fact Brother  lead by example  Lip service don’t cut it 🔥🔥💪"
"lacey_g24","Love the straight forwardness. A little offensive. I felt that in my chest 😭😭😭😭"
"hoppohoppo","Truth 🙌"
"richloveamerica","👏👏👏👏"
"joshmorafit","Solid 🫡"
"michael_budani","Truth. Down  72lbs since last november (thanksgiving to b exact). All from this shit right here."
"chadillac563","Damn bro!!! Preach that shit!!!🔥🔥🔥"
"epayne5","💯 💯💯💯💯"
"kinglife3838","Love this unc 👏"
"american_fathers","100% 💪"
"never_giveup510","Speak on it 🗣️💪🏾💯"
"a.k.a.tonyferrante","Lead from the front 🦾"
"noahpapi","This is 💯 📠💪🏼"
"life_with_mp","Solid advice, every parent needs to follow this!"
"dannyrwagamba","Facts"
"pain2power_coaching","Fucking TRUTH!"
"treyperry","💯💯💯💯💯"
"lake2lakejeff","🗣️ 👑"
"sobrietysoulsistertribe","👏👏👏👏"
"ambergsilva","👏👏👏"
"elchivo60_","🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥"
"rob_digga87","Family is the one thing you don't know what you talking about."
"chucotownchula915","👏"
"superhumanfathers","THIS!!!!!!🔥🔥🔥"
"dan_king_solomon","the raw truth 💯"
"nicklouis_","@watson_fit Wes! What podcast is this? I seen almost all of them this one don’t look familiar."
"brandonadmckee","Amen 🙏"
"stevie_p.fitlife","💯💯💯"
"powertfupllc","yup i swear bro"
"joe.mnuel","The realest mf on the internet, Wes' voice lives in my head when I'm dicking around"
"focusedenergy89","🔥🔥🔥"
"jonathanhuaracha","🔥"
"seanpthetrainer","Love this 🔥"
"_geigan","😂"
"dresseddanielle","Anyone know what interview this is?"
"official_clothnyc","🗣️🔥🔥🔥🔥🔥💯🎯"
"andreijilavu","i must unfollow this sca mm"
"drshahinsafarian","🔥🔥🔥"
"91_db1","Let me decipher for ya “lead by examples” simple as that.."
"zo_zilla5","🔥🔥🔥"
"himothydfw","🔥🔥🔥🔥"
"iamerikvidal","AMEN"
"brizz_llc","The truth hurts ❤️💯"
